id,name,city_id,priority
1,Ba Vì,1,1
2,Chương Mỹ,1,1
3,Đan Phượng,1,1
4,Đông Anh,1,1
5,Gia Lâm,1,1
6,Hoài Đức,1,1
7,Mê Linh,1,1
8,Mỹ Đức,1,1
9,Phú Xuyên,1,1
10,Phúc Thọ,1,1
11,Quốc Oai,1,1
12,Sóc Sơn,1,1
13,Thạch Thất,1,1
14,Thanh Oai,1,1
15,Thanh Trì,1,1
16,Thường Tín,1,1
17,Ứng Hòa,1,1
18,Quận Ba Đình,1,10
19,Quận Bắc Từ Liêm,1,10
20,Quận Cầu Giấy,1,10
21,Quận Đống Đa,1,10
22,Quận Hà Đông,1,10
23,Quận Hai Bà Trưng,1,10
24,Quận Hoàn Kiếm,1,10
25,Quận Hoàng Mai,1,10
26,Quận Long Biên,1,10
27,Quận Nam Từ Liêm,1,10
28,Quận Tây Hồ,1,10
29,Quận Thanh Xuân,1,10
30,Sơn Tây,1,1
31,Bình Chánh,2,1
32,Cần Giờ,2,1
33,Củ Chi,2,1
34,Hóc Môn,2,1
35,Nhà Bè,2,1
36,Quận Bình Tân,2,10
37,Quận Bình Thạnh,2,10
38,Quận Gò Vấp,2,10
39,Quận Phú Nhuận,2,10
40,Quận 1,2,10
41,Quận 2,2,10
42,Quận 3,2,10
43,Quận 4,2,10
44,Quận 5,2,10
45,Quận 6,2,10
46,Quận 7,2,10
47,Quận 8,2,10
48,Quận 9,2,10
49,Quận 10,2,10
50,Quận 11,2,10
51,Quận 12,2,10
52,Quận Tân Bình,2,10
53,Quận Tân Phú,2,10
54,Quận Thủ Đức,2,10
55,Quận Hải Châu,3,10
56,Quận Thanh Khê,3,9
57,Quận Sơn Trà,3,8
58,Quận Ngũ Hành Sơn,3,7
59,Quận Liên Chiểu,3,6
60,Huyện Hòa Vang,3,5
61,Quận Cẩm Lệ,3,4
62,Huyện Hoàng Sa,3,3
